Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
1KG	NA18499	NA18499	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA18542	NA18542	0.0	0.0	0.0	0.0	0.5806451612903226	0.23655913978494622	0.0	0.0	0.0	0.1827956989247312	0.0	0.0	4
1KG	HG01858	HG01858	0.0	0.0	0.0	0.0	0.550561797752809	0.20224719101123598	0.0	0.0	0.0	0.24719101123595508	0.0	0.0	4
1KG	HG02922	HG02922	0.3448275862068966	0.6551724137931034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA19308	NA19308	0.3536585365853658	0.6463414634146342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG01915	HG01915	0.3375	0.6625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG00844	HG00844	0.0	0.0	0.0	0.0	0.5393258426966292	0.20224719101123598	0.0	0.0	0.0	0.25842696629213485	0.0	0.0	4
1KG	NA18953	NA18953	0.0	0.0	0.0	0.0	0.5591397849462365	0.31182795698924726	0.0	0.0	0.0	0.12903225806451613	0.0	0.0	4
1KG	HG00452	HG00452	0.0	0.0	0.0	0.0	0.5638297872340426	0.22340425531914895	0.0	0.0	0.0	0.21276595744680854	0.0	0.0	4
1KG	NA19921	NA19921	0.2698412698412699	0.5396825396825398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19047619047619047	0.0	2
1KG	HG03109	HG03109	0.3563218390804597	0.6436781609195402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG03096	HG03096	0.3636363636363636	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG03717	HG03717	0.0	0.0	0.39999999999999997	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	4
1KG	HG03694	HG03694	0.0	0.0	0.2982456140350877	0.0	0.0	0.0	0.47368421052631576	0.0	0.0	0.0	0.22807017543859648	0.0	4
1KG	NA19713	NA19713	0.32000000000000006	0.5466666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13333333333333336	0.0	2
1KG	NA19909	NA19909	0.34210526315789475	0.6578947368421053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA18949	NA18949	0.0	0.0	0.0	0.0	0.59	0.41	0.0	0.0	0.0	0.0	0.0	0.0	4
1KG	NA20866	NA20866	0.0	0.0	0.3114754098360656	0.0	0.0	0.0	0.5081967213114754	0.0	0.0	0.0	0.18032786885245902	0.0	4
1KG	HG02600	HG02600	0.0	0.0	0.3	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.2	0.0	4
1KG	HG01599	HG01599	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.72	0.0	0.0	4
1KG	HG03401	HG03401	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG03919	HG03919	0.0	0.0	0.2753623188405797	0.0	0.14492753623188406	0.0	0.4202898550724637	0.0	0.0	0.0	0.15942028985507245	0.0	4
1KG	NA18507	NA18507	0.3448275862068966	0.6551724137931034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA20504	NA20504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14666666666666664	0.21333333333333332	0.0	0.4533333333333333	0.18666666666666665	1
